team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2023,CAR,2023020131,CAR,PHI,AWAY,20231030,Team Level,all,0.3404,0.5049,0.4598,3600.0,28.786,2.28,1.779,7.961,1.101,15.147,11.732,2.249,2.379,2.347,32.0,8.0,12.0,52.0,3.0,3.0,0.0,6.0,0.0,12.0,16.0,29.0,37.0,4.0,8.0,39.0,13.0,6.0,4.0,32.0,7.0,1.0,0.793,0.986,0.501,1.0,1.0,1.0,54.44,40.0,41.921,2.0,0.381,0.281,0.281,2.381,2.483,2.467,36.53,4.418,2.785,8.496,1.146,17.999,12.154,3.895,4.319,3.801,28.0,19.0,4.0,51.0,2.0,8.0,0.0,4.0,0.0,16.0,17.0,26.0,45.0,1.0,2.0,16.0,23.0,7.0,9.0,26.0,16.0,5.0,0.727,1.982,1.709,0.0,2.0,0.0,49.915,47.0,46.19,7.0,0.626,2.118,2.118,2.927,2.835,2.73
CAR,2023,CAR,2023020148,CAR,NYR,AWAY,20231102,Team Level,all,0.5107,0.5593,0.5238,3600.0,32.879,2.787,1.865,8.345,1.08,16.551,13.372,2.664,2.839,2.713,27.0,17.0,22.0,66.0,1.0,4.0,0.0,4.0,0.0,19.0,16.0,26.0,43.0,4.0,8.0,30.0,13.0,2.0,3.0,36.0,5.0,3.0,0.931,0.636,1.221,0.0,0.0,1.0,66.798,44.0,44.136,2.0,0.415,0.456,0.456,2.747,2.806,2.717,29.562,2.67,1.995,6.8,0.936,16.406,11.193,2.595,2.638,2.564,26.0,14.0,12.0,52.0,2.0,1.0,0.0,3.0,0.0,21.0,13.0,24.0,38.0,1.0,2.0,32.0,21.0,5.0,3.0,29.0,9.0,2.0,0.901,0.988,0.781,0.0,1.0,1.0,51.48,40.0,39.722,3.0,0.443,0.162,0.162,2.951,2.913,2.829
CAR,2023,CAR,2023020167,CAR,NYI,AWAY,20231104,Team Level,all,0.6768,0.7266,0.699,3674.0,50.689,3.886,3.282,14.404,1.87,28.098,20.459,3.789,3.928,3.831,46.0,26.0,29.0,101.0,4.0,9.0,0.0,9.0,0.0,30.0,20.0,42.0,68.0,2.0,4.0,35.0,22.0,7.0,5.0,61.0,7.0,4.0,1.265,0.924,1.697,3.0,0.0,1.0,98.561,72.0,70.755,1.0,0.718,1.32,1.32,3.284,3.301,3.216,22.913,1.856,1.534,4.981,0.7,12.092,9.838,1.822,1.848,1.816,25.0,6.0,7.0,38.0,3.0,0.0,0.0,7.0,0.0,7.0,14.0,22.0,28.0,4.0,8.0,31.0,21.0,6.0,15.0,20.0,10.0,1.0,0.476,1.121,0.259,0.0,3.0,0.0,38.866,31.0,31.438,7.0,0.33,0.0,0.0,2.185,2.175,2.138
CAR,2023,CAR,2023020238,CAR,PHI,HOME,20231115,Team Level,all,0.6338,0.6754,0.6111,3600.0,31.465,2.748,2.014,7.551,1.114,18.301,12.272,2.721,2.525,2.501,32.0,12.0,33.0,77.0,1.0,1.0,0.0,12.0,0.0,17.0,13.0,31.0,43.0,1.0,2.0,31.0,14.0,6.0,6.0,31.0,13.0,0.0,1.068,1.679,0.0,1.0,0.0,0.0,69.928,44.0,39.921,2.0,0.431,0.196,0.196,2.983,2.746,2.72,20.151,1.588,1.202,5.44,0.662,10.475,8.633,1.499,1.768,1.669,24.0,4.0,9.0,37.0,3.0,1.0,0.0,6.0,0.0,7.0,11.0,21.0,25.0,3.0,6.0,37.0,10.0,6.0,3.0,22.0,5.0,1.0,0.541,0.582,0.465,1.0,2.0,0.0,42.196,28.0,31.374,2.0,0.255,0.465,0.465,1.379,1.532,1.517
CAR,2023,CAR,2023020259,CAR,PIT,HOME,20231118,Team Level,all,0.5014,0.5417,0.5591,3600.0,37.132,3.084,2.461,9.213,1.351,20.934,14.957,2.872,2.974,2.771,34.0,18.0,13.0,65.0,4.0,3.0,0.0,2.0,0.0,25.0,18.0,30.0,48.0,2.0,4.0,28.0,18.0,8.0,8.0,42.0,7.0,3.0,1.473,0.806,0.806,1.0,2.0,1.0,63.377,52.0,50.85,3.0,0.513,0.122,0.122,3.475,3.353,3.134,31.109,3.067,1.989,6.714,0.969,15.96,12.302,3.018,3.144,3.093,28.0,13.0,14.0,55.0,2.0,0.0,0.0,6.0,0.0,15.0,18.0,26.0,39.0,3.0,6.0,31.0,9.0,6.0,2.0,29.0,9.0,3.0,0.905,1.259,0.903,1.0,0.0,1.0,56.945,41.0,42.136,0.0,0.428,0.0,0.0,3.495,3.588,3.529
CAR,2023,CAR,2023020318,CAR,CBJ,HOME,20231126,Team Level,all,0.7212,0.6719,0.6628,3600.0,41.586,3.808,2.632,10.241,1.397,23.042,15.88,3.662,3.627,3.486,43.0,14.0,29.0,86.0,3.0,2.0,0.0,7.0,0.0,26.0,19.0,40.0,54.0,0.0,0.0,31.0,13.0,8.0,11.0,43.0,9.0,5.0,1.402,1.173,1.232,2.0,0.0,1.0,82.564,57.0,54.553,5.0,0.569,0.299,0.299,4.078,3.884,3.731,19.701,1.472,1.172,4.852,0.754,11.657,9.093,1.47,1.532,1.53,23.0,6.0,13.0,42.0,2.0,0.0,0.0,6.0,0.0,9.0,12.0,21.0,27.0,2.0,4.0,25.0,25.0,7.0,5.0,24.0,3.0,2.0,0.535,0.443,0.494,1.0,1.0,0.0,44.142,29.0,30.279,2.0,0.252,0.0,0.0,1.724,1.797,1.794
CAR,2023,CAR,2023020328,CAR,PHI,AWAY,20231128,Team Level,all,0.6058,0.5833,0.5667,3600.0,37.537,2.788,2.384,9.558,1.238,19.482,15.55,2.617,2.96,2.773,36.0,15.0,26.0,77.0,4.0,5.0,2.0,6.0,1.0,14.0,21.0,32.0,47.0,2.0,4.0,26.0,9.0,6.0,9.0,44.0,3.0,4.0,1.118,0.443,1.226,1.0,0.0,3.0,82.27,51.0,54.274,9.0,0.513,0.671,0.671,2.63,2.777,2.74,26.642,1.814,1.853,7.778,1.057,15.465,11.033,1.724,1.683,1.6,29.0,10.0,16.0,55.0,1.0,7.0,0.0,5.0,0.0,12.0,14.0,28.0,38.0,2.0,4.0,28.0,11.0,2.0,6.0,31.0,6.0,2.0,0.582,0.742,0.49,0.0,1.0,0.0,51.04,39.0,36.236,3.0,0.391,0.722,0.722,1.483,1.377,1.361
CAR,2023,CAR,2023020341,CAR,NYI,HOME,20231130,Team Level,all,0.6044,0.7059,0.6989,3766.0,45.108,4.226,3.084,10.636,1.595,26.624,18.836,4.072,4.177,4.024,43.0,22.0,31.0,96.0,4.0,5.0,2.0,3.0,0.0,35.0,18.0,39.0,61.0,2.0,4.0,29.0,15.0,8.0,8.0,48.0,15.0,2.0,1.594,1.788,0.844,0.0,3.0,1.0,94.993,65.0,64.724,4.0,0.68,0.725,0.725,4.181,4.124,4.031,19.425,2.766,1.149,4.405,0.664,10.208,8.808,2.729,2.815,2.777,16.0,12.0,12.0,40.0,5.0,3.0,1.0,1.0,0.0,7.0,12.0,11.0,23.0,3.0,6.0,34.0,22.0,10.0,7.0,20.0,6.0,2.0,0.679,0.771,1.317,1.0,3.0,1.0,40.884,28.0,28.687,5.0,0.255,1.238,1.238,1.782,1.826,1.82
CAR,2023,CAR,2023020475,CAR,WSH,HOME,20231217,Team Level,all,0.6289,0.6381,0.625,3900.0,35.31,2.825,2.276,8.067,1.149,20.626,15.058,2.755,2.747,2.678,29.0,21.0,17.0,67.0,1.0,0.0,0.0,8.0,0.0,24.0,17.0,28.0,49.0,2.0,4.0,26.0,10.0,7.0,7.0,40.0,8.0,2.0,1.32,1.011,0.493,0.0,0.0,1.0,65.72,50.0,49.117,4.0,0.481,0.0,0.0,3.306,3.214,3.132,22.214,1.667,1.468,5.472,0.758,11.568,9.068,1.617,1.727,1.674,21.0,9.0,8.0,38.0,1.0,1.0,0.0,3.0,0.0,13.0,12.0,20.0,29.0,4.0,10.0,32.0,19.0,5.0,5.0,23.0,6.0,1.0,0.69,0.655,0.322,0.0,1.0,0.0,38.579,30.0,30.472,2.0,0.327,0.322,0.322,1.672,1.725,1.673
CAR,2023,CAR,2023020503,CAR,PIT,AWAY,20231221,Team Level,all,0.4083,0.5417,0.5143,3900.0,26.127,1.839,1.608,6.942,0.919,13.184,11.507,1.798,1.877,1.835,24.0,12.0,29.0,65.0,1.0,4.0,1.0,9.0,0.0,11.0,11.0,23.0,35.0,5.0,10.0,31.0,16.0,14.0,5.0,29.0,6.0,1.0,0.693,0.785,0.362,1.0,0.0,0.0,65.214,36.0,36.024,2.0,0.344,0.589,0.589,1.594,1.628,1.601,25.356,2.665,1.722,6.698,0.93,13.286,8.699,2.55,2.615,2.501,25.0,9.0,21.0,55.0,1.0,5.0,0.0,3.0,0.0,15.0,10.0,24.0,33.0,2.0,4.0,30.0,26.0,9.0,17.0,22.0,10.0,2.0,0.628,1.47,0.566,1.0,0.0,0.0,54.338,34.0,33.703,9.0,0.398,1.011,1.011,2.052,2.008,1.942
