team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2023,CAR,2023020131,CAR,PHI,AWAY,20231030,Team Level,other,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAR,2023,CAR,2023020131,CAR,PHI,AWAY,20231030,Team Level,all,0.3404,0.5049,0.4598,3600.0,28.786,2.28,1.779,7.961,1.101,15.147,11.732,2.249,2.379,2.347,32.0,8.0,12.0,52.0,3.0,3.0,0.0,6.0,0.0,12.0,16.0,29.0,37.0,4.0,8.0,39.0,13.0,6.0,4.0,32.0,7.0,1.0,0.793,0.986,0.501,1.0,1.0,1.0,54.44,40.0,41.921,2.0,0.381,0.281,0.281,2.381,2.483,2.467,36.53,4.418,2.785,8.496,1.146,17.999,12.154,3.895,4.319,3.801,28.0,19.0,4.0,51.0,2.0,8.0,0.0,4.0,0.0,16.0,17.0,26.0,45.0,1.0,2.0,16.0,23.0,7.0,9.0,26.0,16.0,5.0,0.727,1.982,1.709,0.0,2.0,0.0,49.915,47.0,46.19,7.0,0.626,2.118,2.118,2.927,2.835,2.73
CAR,2023,CAR,2023020131,CAR,PHI,AWAY,20231030,Team Level,5on5,0.4156,0.5402,0.493,2927.0,24.976,1.665,1.62,7.286,0.995,13.747,9.687,1.638,1.764,1.735,27.0,8.0,12.0,47.0,2.0,3.0,0.0,5.0,0.0,12.0,13.0,25.0,33.0,4.0,8.0,33.0,13.0,4.0,4.0,28.0,7.0,0.0,0.679,0.986,0.0,1.0,1.0,0.0,49.44,35.0,36.921,2.0,0.335,0.281,0.281,1.72,1.822,1.809,27.334,2.341,1.844,6.487,0.83,14.354,10.144,2.224,2.242,2.13,21.0,15.0,4.0,40.0,2.0,3.0,0.0,2.0,0.0,16.0,13.0,19.0,34.0,1.0,2.0,13.0,23.0,5.0,7.0,23.0,12.0,1.0,0.597,1.429,0.314,0.0,2.0,0.0,38.915,36.0,35.19,6.0,0.384,0.526,0.526,2.199,2.107,2.056
CAR,2023,CAR,2023020131,CAR,PHI,AWAY,20231030,Team Level,4on5,0.049,0.2143,0.2143,600.0,2.186,0.107,0.075,0.336,0.065,0.741,1.676,0.107,0.107,0.107,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.017,0.0,0.0,0.125,0.125,0.125,9.197,2.077,0.942,2.009,0.316,3.646,2.01,1.671,2.077,1.671,7.0,4.0,0.0,11.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,7.0,11.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,4.0,4.0,0.13,0.553,1.395,0.0,0.0,0.0,11.0,11.0,11.0,1.0,0.243,1.592,1.592,0.728,0.728,0.674
CAR,2023,CAR,2023020131,CAR,PHI,AWAY,20231030,Team Level,5on4,1.0,1.0,1.0,57.0,1.624,0.508,0.085,0.339,0.041,0.659,0.368,0.504,0.508,0.504,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.007,0.0,0.501,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.029,0.0,0.0,0.537,0.537,0.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAR,2023,CAR,2023020148,CAR,NYR,AWAY,20231102,Team Level,other,0.131,0.75,0.5,104.0,0.684,0.084,0.046,0.104,0.016,0.556,0.194,0.084,0.084,0.084,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.016,0.0,0.0,0.1,0.1,0.1,0.64,0.557,0.034,0.035,0.017,0.201,0.157,0.557,0.557,0.557,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.557,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.008,0.0,0.0,0.564,0.564,0.564
CAR,2023,CAR,2023020148,CAR,NYR,AWAY,20231102,Team Level,all,0.5107,0.5593,0.5238,3600.0,32.879,2.787,1.865,8.345,1.08,16.551,13.372,2.664,2.839,2.713,27.0,17.0,22.0,66.0,1.0,4.0,0.0,4.0,0.0,19.0,16.0,26.0,43.0,4.0,8.0,30.0,13.0,2.0,3.0,36.0,5.0,3.0,0.931,0.636,1.221,0.0,0.0,1.0,66.798,44.0,44.136,2.0,0.415,0.456,0.456,2.747,2.806,2.717,29.562,2.67,1.995,6.8,0.936,16.406,11.193,2.595,2.638,2.564,26.0,14.0,12.0,52.0,2.0,1.0,0.0,3.0,0.0,21.0,13.0,24.0,38.0,1.0,2.0,32.0,21.0,5.0,3.0,29.0,9.0,2.0,0.901,0.988,0.781,0.0,1.0,1.0,51.48,40.0,39.722,3.0,0.443,0.162,0.162,2.951,2.913,2.829
CAR,2023,CAR,2023020148,CAR,NYR,AWAY,20231102,Team Level,5on5,0.6211,0.6129,0.5873,2812.0,27.599,1.859,1.507,7.29,0.92,14.092,11.331,1.738,1.91,1.786,22.0,15.0,20.0,57.0,0.0,3.0,0.0,2.0,0.0,18.0,14.0,22.0,37.0,4.0,8.0,27.0,9.0,2.0,2.0,31.0,4.0,2.0,0.776,0.552,0.531,0.0,0.0,0.0,57.798,37.0,37.136,1.0,0.309,0.395,0.395,1.773,1.832,1.746,19.404,1.134,1.216,4.73,0.62,10.501,7.8,1.114,1.102,1.083,19.0,7.0,10.0,36.0,1.0,1.0,0.0,1.0,0.0,12.0,11.0,18.0,25.0,1.0,2.0,22.0,18.0,4.0,3.0,21.0,5.0,0.0,0.597,0.537,0.0,0.0,1.0,0.0,35.48,26.0,25.722,3.0,0.249,0.162,0.162,1.221,1.183,1.165
CAR,2023,CAR,2023020148,CAR,NYR,AWAY,20231102,Team Level,4on5,0.077,0.125,0.1429,543.0,1.342,0.079,0.047,0.211,0.051,0.48,1.131,0.078,0.079,0.078,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.013,0.0,0.0,0.092,0.092,0.09,8.783,0.947,0.726,1.902,0.28,5.49,2.655,0.892,0.947,0.892,7.0,5.0,2.0,14.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0,6.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,4.0,1.0,0.272,0.451,0.224,0.0,0.0,1.0,14.0,12.0,12.0,0.0,0.182,0.0,0.0,1.13,1.13,1.063
CAR,2023,CAR,2023020148,CAR,NYR,AWAY,20231102,Team Level,5on4,0.9598,0.8,0.8,141.0,3.254,0.765,0.265,0.739,0.092,1.422,0.717,0.765,0.765,0.765,4.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.076,0.0,0.689,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.078,0.061,0.061,0.782,0.782,0.782,0.736,0.032,0.02,0.134,0.019,0.215,0.581,0.032,0.032,0.032,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.004,0.0,0.0,0.036,0.036,0.036
