team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2008,CAR,2008020094,CAR,PIT,AWAY,20081023,Team Level,all,0.2485,0.4762,0.4342,3600.0,24.144,1.627,1.42,5.584,0.763,12.928,10.678,1.594,1.721,1.685,25.0,8.0,17.0,50.0,1.0,2.0,0.0,7.0,4.0,10.0,9.0,24.0,32.0,5.0,16.0,26.0,33.0,4.0,7.0,26.0,6.0,1.0,0.629,0.759,0.24,0.0,1.0,0.0,51.887,33.0,34.44,4.0,0.296,0.279,0.279,1.644,1.732,1.717,31.898,4.919,2.269,6.896,0.981,16.697,11.239,4.832,4.778,4.696,35.0,8.0,12.0,55.0,4.0,2.0,0.0,9.0,0.0,16.0,12.0,31.0,39.0,4.0,14.0,30.0,20.0,4.0,10.0,25.0,12.0,6.0,0.715,1.592,2.611,0.0,1.0,3.0,52.61,43.0,41.288,4.0,0.489,0.71,0.71,4.697,4.574,4.525
CAR,2008,CAR,2008020108,CAR,NYI,AWAY,20081025,Team Level,all,0.2997,0.3791,0.354,3600.0,28.559,2.141,2.202,6.145,0.934,15.195,13.383,2.089,2.342,2.285,28.0,12.0,18.0,58.0,4.0,3.0,1.0,4.0,0.0,11.0,18.0,24.0,36.0,9.0,21.0,31.0,25.0,7.0,6.0,31.0,6.0,3.0,0.646,0.711,0.784,0.0,1.0,3.0,62.911,40.0,43.282,4.0,0.478,0.453,0.453,2.166,2.352,2.313,50.164,5.003,3.747,11.754,1.927,28.352,22.217,4.75,4.745,4.502,60.0,13.0,22.0,95.0,3.0,5.0,0.0,12.0,3.0,24.0,26.0,57.0,70.0,4.0,11.0,20.0,16.0,9.0,7.0,52.0,15.0,6.0,1.57,1.895,1.538,2.0,1.0,0.0,89.084,73.0,68.449,4.0,0.827,0.987,1.225,4.605,4.39,4.215
CAR,2008,CAR,2008020183,CAR,WSH,AWAY,20081106,Team Level,all,0.5238,0.4537,0.4878,3600.0,29.437,2.636,2.189,6.516,0.903,15.192,12.564,2.54,2.841,2.738,34.0,6.0,9.0,49.0,2.0,3.0,0.0,10.0,1.0,9.0,15.0,32.0,38.0,5.0,13.0,20.0,19.0,5.0,15.0,28.0,10.0,2.0,1.032,1.154,0.451,1.0,1.0,0.0,52.79,40.0,42.994,14.0,0.523,0.603,0.603,2.556,2.744,2.71,29.597,2.396,2.144,6.448,0.873,17.27,12.869,2.372,2.276,2.253,33.0,9.0,17.0,59.0,3.0,0.0,0.0,6.0,0.0,15.0,18.0,30.0,39.0,4.0,11.0,35.0,21.0,17.0,22.0,31.0,11.0,0.0,1.11,1.286,0.0,2.0,1.0,0.0,55.756,42.0,39.721,12.0,0.464,0.0,0.0,2.86,2.718,2.687
CAR,2008,CAR,2008020223,CAR,WSH,HOME,20081112,Team Level,all,0.4795,0.4651,0.4421,3600.0,31.462,3.949,2.576,7.077,0.966,16.595,10.837,3.804,3.745,3.603,27.0,15.0,18.0,60.0,1.0,3.0,1.0,8.0,0.0,15.0,15.0,26.0,41.0,5.0,10.0,27.0,27.0,20.0,4.0,22.0,17.0,3.0,0.711,2.116,1.122,0.0,0.0,1.0,55.58,42.0,39.23,0.0,0.605,0.784,0.784,3.771,3.554,3.467,39.256,4.286,2.678,9.399,1.286,19.757,15.593,4.129,4.663,4.487,37.0,16.0,16.0,69.0,5.0,6.0,1.0,4.0,2.0,15.0,21.0,32.0,48.0,7.0,14.0,32.0,18.0,9.0,2.0,35.0,11.0,7.0,0.952,1.39,1.943,1.0,1.0,3.0,77.719,53.0,58.401,2.0,0.618,1.077,1.077,3.827,4.117,4.032
CAR,2008,CAR,2008020312,CAR,PHI,HOME,20081126,Team Level,all,0.6045,0.5439,0.5443,3600.0,30.822,3.402,2.098,7.067,0.983,16.45,13.0,3.128,3.25,2.988,28.0,15.0,19.0,62.0,1.0,6.0,1.0,5.0,1.0,16.0,14.0,27.0,42.0,5.0,13.0,29.0,39.0,5.0,8.0,34.0,4.0,5.0,1.117,0.492,1.794,0.0,1.0,0.0,59.055,43.0,40.954,2.0,0.457,1.586,1.586,2.274,2.183,2.122,26.257,2.226,2.057,5.77,0.836,13.487,10.689,2.173,2.373,2.316,27.0,9.0,16.0,52.0,3.0,5.0,0.0,3.0,0.0,5.0,20.0,24.0,33.0,7.0,17.0,25.0,23.0,5.0,5.0,25.0,9.0,2.0,0.731,0.934,0.561,1.0,2.0,0.0,54.881,36.0,37.942,2.0,0.462,0.762,0.762,1.86,1.981,1.965
CAR,2008,CAR,2008020324,CAR,PHI,AWAY,20081128,Team Level,all,0.6191,0.5135,0.5227,3833.0,31.756,3.125,1.93,7.424,0.965,16.341,15.28,2.862,3.172,2.908,30.0,16.0,11.0,57.0,3.0,4.0,0.0,6.0,1.0,13.0,19.0,27.0,43.0,6.0,18.0,25.0,11.0,10.0,1.0,38.0,4.0,4.0,1.172,0.509,1.444,2.0,1.0,0.0,57.524,46.0,46.241,1.0,0.426,0.686,0.686,2.8,2.838,2.603,27.271,1.923,1.88,6.129,0.958,17.49,13.62,1.878,1.906,1.861,26.0,16.0,12.0,54.0,2.0,1.0,0.0,3.0,2.0,13.0,21.0,24.0,40.0,5.0,16.0,26.0,16.0,6.0,6.0,37.0,4.0,1.0,1.212,0.438,0.273,0.0,2.0,0.0,54.121,42.0,42.25,4.0,0.394,0.273,0.273,2.044,2.022,2.013
CAR,2008,CAR,2008020369,CAR,PIT,HOME,20081204,Team Level,all,0.515,0.656,0.6517,3600.0,41.515,4.11,2.942,10.714,1.33,22.487,15.482,4.0,3.842,3.74,36.0,22.0,24.0,82.0,2.0,3.0,0.0,12.0,0.0,24.0,17.0,34.0,56.0,3.0,6.0,38.0,20.0,10.0,10.0,40.0,13.0,5.0,1.301,1.484,1.325,1.0,1.0,0.0,74.162,58.0,53.419,5.0,0.656,0.723,0.723,3.978,3.747,3.671,23.04,3.871,1.374,5.076,0.671,10.908,9.101,3.821,4.106,4.049,22.0,9.0,12.0,43.0,5.0,3.0,2.0,3.0,1.0,6.0,13.0,17.0,26.0,5.0,10.0,26.0,28.0,10.0,4.0,23.0,2.0,6.0,0.62,0.174,3.076,1.0,0.0,4.0,48.674,31.0,34.28,1.0,0.319,1.469,1.469,2.721,2.894,2.883
CAR,2008,CAR,2008020384,CAR,PHI,HOME,20081206,Team Level,all,0.6155,0.529,0.5319,3814.0,36.015,2.691,2.288,8.827,1.24,19.782,15.172,2.61,2.566,2.488,36.0,14.0,23.0,73.0,1.0,3.0,0.0,5.0,0.0,22.0,19.0,35.0,49.0,6.0,15.0,32.0,23.0,6.0,4.0,42.0,3.0,5.0,1.2,0.339,1.152,1.0,0.0,0.0,70.05,50.0,47.954,3.0,0.512,0.525,0.525,2.678,2.566,2.535,31.299,1.681,2.04,7.379,1.013,17.178,13.776,1.643,1.758,1.718,31.0,13.0,21.0,65.0,2.0,5.0,0.0,5.0,1.0,11.0,20.0,29.0,42.0,9.0,21.0,31.0,37.0,6.0,2.0,40.0,2.0,2.0,0.93,0.204,0.547,1.0,1.0,0.0,67.97,44.0,45.903,1.0,0.419,0.423,0.423,1.611,1.686,1.675
CAR,2008,CAR,2008020392,CAR,WSH,HOME,20081207,Team Level,all,0.4307,0.3874,0.4066,3600.0,25.796,2.343,1.746,6.066,0.82,14.913,10.177,2.301,2.323,2.281,25.0,12.0,6.0,43.0,3.0,5.0,2.0,2.0,0.0,10.0,17.0,22.0,34.0,7.0,12.0,34.0,29.0,3.0,5.0,29.0,6.0,2.0,0.923,0.732,0.688,0.0,1.0,2.0,43.106,37.0,37.275,3.0,0.367,1.016,1.016,1.629,1.607,1.594,38.205,3.097,2.75,8.873,1.399,22.603,15.279,2.993,3.128,3.024,39.0,15.0,14.0,68.0,1.0,5.0,0.0,4.0,3.0,16.0,25.0,38.0,53.0,4.0,8.0,20.0,28.0,9.0,2.0,45.0,6.0,3.0,1.095,0.774,1.228,0.0,0.0,1.0,67.213,54.0,53.0,1.0,0.635,0.953,0.953,2.779,2.798,2.762
CAR,2008,CAR,2008020414,CAR,PHI,AWAY,20081211,Team Level,all,0.4482,0.4634,0.4519,3900.0,32.329,3.237,2.141,7.272,0.991,19.877,13.483,2.972,3.38,3.111,31.0,16.0,10.0,57.0,5.0,2.0,2.0,7.0,0.0,11.0,22.0,26.0,42.0,9.0,24.0,36.0,5.0,5.0,9.0,39.0,4.0,4.0,0.907,0.364,1.965,1.0,1.0,3.0,60.92,47.0,49.855,3.0,0.544,1.071,1.071,2.709,2.837,2.817,39.648,3.986,2.79,9.263,1.531,22.063,17.367,3.872,3.856,3.748,37.0,20.0,9.0,66.0,5.0,7.0,3.0,6.0,1.0,18.0,20.0,32.0,52.0,9.0,24.0,26.0,14.0,8.0,12.0,45.0,7.0,5.0,1.479,0.998,1.509,1.0,2.0,2.0,62.337,57.0,54.179,6.0,0.64,1.208,1.208,3.418,3.325,3.267
